PGI,ec_number,5.3.1.9,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,g6p_c <-> f6p_c,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Null,Null,,,,,,,,,,,,
,structure,2,,SDS-PAGE,7004378,E. coli Strain K-10,"Not well studied, but have similar properties. Major form (90% of activity) is dimeric and minor form is tetrameric",,,,,,,,
,active_sites,,,,,,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Keq,"3pg,Null",0.372679859,,,,7.5,,,,,,Adjustment_Dan,,Changed from Equil
,Km,g6p,0.001018,"0.000876,0.00116",,M,7.2,25,"mopskoh,0.1",,,Double Reciprocal Plot,17307338,E. coliK12 W3110 w/ pCA24N,Temperature is a dummy variable
,Km,f6p,0.000078,"0.000069,0.000087",,M,7.2,25,"mopskoh,0.1",,,Double Reciprocal Plot,17307338,E. coliK12 W3110 w/ pCA24N,Temperature is a dummy variable
,Ki,pep,0.00026,,"f6p,0.001",M,7.2,25,"mopskoh,0.1",,"Null,Null",Dixon Plot,17307338,E. coliK12 W3110 w/ pCA24N,Temperature is a dummy variable
,kcat,"g6p,Null;",10,,,1/s,7,25,,,,,https://pubs.acs.org/doi/abs/10.1021/bi2002289,,Average value
,kcat,"f6p,Null;",10,,,1/s,7,25,,,,,https://pubs.acs.org/doi/abs/10.1021/bi2002289,,Average value
PFK1,ec_number,2.7.1.11,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,atp_c + f6p_c -> adp_c + fdp_c + h_c,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Bi Bi (iso-ordered),"_f6p,atp,fdp,adp",Hanes-Woolf plots of initial rates,2946951,Trypanosoma (Schizotrypanum) cruzi,,,,,,,,,
,structure,4,,Crystallography,2975709,E.  coli  w/  pHE1001 or  pHE1007,,,,,,,,,
,active_sites,4,,Crystallography,2975709,E.  coli  w/  pHE1001 or  pHE1007,,,,,,,,,
,allosteric_sites,4,,Crystallography,2975709,E.  coli  w/  pHE1001 or  pHE1007,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Keq,"atp,Null;f6p,Null",1022.334096,,,,7.5,,,,,,Adjustment_Dan,,Is=0.25
,Km,atp,0.00009,"0.000054,0.000126","gdp,0.001;f6p,0.001",M,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,GraFit (Michaelis-Menten Equation),1429704,E. coli strain DF1020 w/ wt-pfk1,Km is a K0.5
,Km,gdp,0.0042,"0.00293,0.00547","f6p,0.00004;atp,0.005",M,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,GraFit (Hill Equation),1429704,E. coli strain DF1020 w/ wt-pfk1,Km is a K0.5
,s05,f6p,0.00009,"0.000054,0.000126","gdp,0.001;atp,0.001",M,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,GraFit (Hill Equation),1429704,E. coli strain DF1020 w/ wt-pfk1,Km is a K0.5
,kcat,"gdp,0.001;atp,Null;f6p,Null",110.7,"108.1,113.3",,1/s,8.5,30,"detam,0.051;netmphn,0.051;mes,0.1",,,GraFit (Hill Equation),1429704,E. coli strain DF1020 w/ wt-pfk1,
