ICL,ec_number,4.1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,,,,,,,,,,,,,,,,,
,mechanism,Uni-Bi (Ordered Steady State),"[icit, succ, glx]",,Escherichia  coli  JE  10 w/ pICL-1,,,,,,,,,,,,,,,,,,,,,,,,,,
,structure,4,,Crystallography,,an overexpressing E. coli strain',,,,,,,,,,,,,,,,,,,,,,,,,
,active_sites,4,,Crystallography,,an overexpressing E. coli strain',,,,,,,,,,,,,,,,,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes,,,,,,,,,,,,,,,,
,Ki,pep,0.91,"[0.66,1.16]","icit,NaN;",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,NC,Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,Ki,3pg,0.8,,"icit,NaN;",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,C,Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,Ki,akg,1.35,,"icit,NaN;",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,NC,Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,Ki,succ,1.19,,"icit,NaN;",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,NC,Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,kcat,icit,54.9,,,[1/S],6.85,37,potassium phosphate,2 mM MgCl2,,Arrhenius Plot,RF4,E. coli TOP10 w/ pHis-EcWT,Calculated for 37°C using data in the paper,,,,,,,,,,,,,,,,
,Km,icit,0.063,"[0.059,0.067]",,[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,,Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,Km,succ,0.59,,"glx,0.045;",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,,Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,Km,glx,0.13,,"succ,0.39;",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,,Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,Ki,pep,0.86,"[0.49,1.23]","[succ,glx],[0.33,varied];",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,"[C,NC],[succ,glx]",Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
,Ki,pep,0.59,"[0.33,0.85]","[succ,glx],[varied,0.2];",[mM],7.3,37,50 mM-Mops/NaOH,5 mM MgCl2,"[C,NC],[succ,glx]",Double Reciprocal Plot,RF3,E. coli ML308,Temperature is from cited methods (PMID: 3297049),,,,,,,,,,,,,,,,
CS,ec_number,2.3.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,,,,,,,,,,,,,,,,,
,mechanism,Ordered Bi Bi,"[ooa,accoa,cit,coa]",,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,,,,,,,,,,
,structure,6,,Crystallography,,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,,,,,,,,,
,active_sites,6,,Crystallography,,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes,,,,,,,,,,,,,,,,
,Km,accoa,0.12,"[0.100,0.140]","ooa,0.1;KCl,100",[mM],7.8,20,20 mM Tris-Cl,,,Double Reciprocal Plot,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,Km,ooa,0.026,"[0.021,0.031]","accoa,0.1;KCl,100",[mM],7.8,20,20 mM Tris-Cl,,,Double Reciprocal Plot,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,kcat,"[accoa,ooa]",81,"[75,87]",,[1/S],7.8,20,20 mM Tris-Cl,,,Double Reciprocal Plot,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,Ki,ooa,0.033,"[0.026,0.040]",,[mM],7.8,20,20 mM Tris-Cl,,"[NC], [accoa]",Double Reciprocal Plot,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,Kd,nadh,0.0016,"[0.0015,0.0017]","[accoa,ooa],[0.1,0.1];KCl,100",[mM],7.8,20,20 mM Tris-Cl,,Allosteric,Double Reciprocal Plot,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,Ki,nadh,0.0028,"[0.0024,0.0032]","[accoa,ooa],[0.1,0.1];KCl,100",[mM],7.8,20,20 mM Tris-Cl,,Allosteric,Double Reciprocal Plot,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,S0.5,accoa,0.7,"[0.67,0.73]","ooa,0.1;",[mM],7.8,20,20 mM Tris-Cl,,,Hill Equation,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,n,accoa,1.55,"[1.51,1.59]","ooa,0.1;",,7.8,20,20 mM Tris-Cl,,,Hill Equation,RF5,E. coli (Unspecified strain) w/ pCCgltA,,,,,,,,,,,,,,,,,
,Activation Ratio,KCl,39,"[36,42]","[accoa,ooa],[0.1,0.1];",,7.8,21,20 mM Tris-Cl,,Allosteric,GLENLSS Program,RF8,E. coli strain HB101 w/ pHSgltA,,,,,,,,,,,,,,,,,
,Ka,KCl,28,"[24,32]","[accoa,ooa],[0.1,0.1];",[mM],7.8,21,20 mM Tris-Cl,,Allosteric,GLENLSS Program,RF8,E. coli strain HB101 w/ pHSgltA,A0.5 value,,,,,,,,,,,,,,,,
,n,KCl,1,"[0.9,1.1]","[accoa,ooa],[0.1,0.1];",,7.8,21,20 mM Tris-Cl,,Allosteric,GLENLSS Program,RF8,E. coli strain HB101 w/ pHSgltA,,,,,,,,,,,,,,,,,
