Priority	Fitting Equation	Log10 residual	Log10 residual^2	Euclidean residual	Relative error	True value	Predicted Value
	
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_1	6.588924961192788e-9	4.3413932144229383e-17	2.4274495445415073e-12	1.5171559653384416e-6	0.00016	0.00015999999757255047
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	haldaneRatio_2	9.164072167777704e-9	8.398021869623794e-17	3.3761690817167567e-12	2.1101056760729725e-6	0.00016	0.0001600000033761691
1	relRateFor_fdp	0.000012168575813875648	1.480742373380394e-10	2.5471626125678215e-6	0.0028018788738246037	0.09090909090909091	0.09090654374647834
1	relRateFor_fdp	0.00001111568959877296	1.2355855525626935e-10	3.501503038044751e-6	0.0025594493623785192	0.13680688860321005	0.136803387100172
1	relRateFor_fdp	9.64861367069858e-6	9.309574576639154e-11	4.460186186688864e-6	0.0022216507215933813	0.20076000891310186	0.20075554872691517
