Priority	dhap[c]	fdp[c]	g3p[c]	param_FBA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/haldaneRatio_1.txt"	0.00016
1	0	0.000017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.09090909090909094
1	0	0.00002694318427183895	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.1368068886032101
1	0	0.000042702069335662915	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.20076000891310194
1	0	0.0000676782189940945	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.28474724895080133
1	0	0.00010726274856163285	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.386863179846857
1	0	0.00017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.5000000000000001
1	0	0.0002694318427183895	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.6131368201531432
1	0	0.0004270206933566291	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.7152527510491988
1	0	0.0006767821899409458	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/relRateFor_fdp.txt"	0.7992399910868985
