Priority	13dpg[c]	adp[c]	atp[c]	3pg[c]	param_PGK_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/haldaneRatio_1.txt"	1900
1	1	8.500000000000002e-6	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.09090909090909091
1	1	0.000013471592135919474	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.13680688860321008
1	1	0.000021351034667831454	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.20076000891310192
1	1	0.000033839109497047245	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.2847472489508013
1	1	0.00005363137428081642	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.3868631798468569
1	1	0.00008500000000000002	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.5000000000000001
1	1	0.00013471592135919474	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.6131368201531432
1	1	0.00021351034667831454	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.7152527510491988
1	1	0.00033839109497047284	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.7992399910868982
1	1	0.0005363137428081642	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.86319311139679
1	1	0.0008500000000000003	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_adp.txt"	0.9090909090909092
1	1.100000000000001e-6	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.09090909090909097
1	1.7433825117072269e-6	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.13680688860321014
1	2.7630750746605424e-6	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.200760008913102
1	4.37917887608847e-6	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.2847472489508014
1	6.940530789282128e-6	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.38686317984685703
1	0.000011000000000000008	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.5000000000000002
1	0.00001743382511707227	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.6131368201531434
1	0.000027630750746605424	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.7152527510491988
1	0.00004379178876088469	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.7992399910868982
1	0.00006940530789282128	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.8631931113967901
1	0.00011000000000000009	1	0	0	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateFor_13dpg.txt"	0.9090909090909092
1	0	0	0.00035000000000000005	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.09090909090909091
1	0	0	0.0005547126173613899	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.13680688860321005
1	0	0	0.000879160251028353	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.20076000891310175
1	0	0	0.0013933750969372409	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.28474724895080145
1	0	0	0.0022083507056806758	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.38686317984685686
1	0	0	0.0035	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.5
1	0	0	0.0055471261736139	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.6131368201531431
1	0	0	0.008791602510283538	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.7152527510491987
1	0	0	0.013933750969372407	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.7992399910868984
1	0	0	0.022083507056806766	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.8631931113967901
1	0	0	0.035	1	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_atp.txt"	0.9090909090909091
1	0	0	1	0.00024999999999999995	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_3pg.txt"	0.0909090909090909
1	0	0	1	0.0003962232981152784	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_3pg.txt"	0.13680688860321003
1	0	0	1	0.0006279716078773948	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_3pg.txt"	0.20076000891310167
1	0	0	1	0.0009952679263837431	1	7	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGK_Final_typeII/input/relRateRev_3pg.txt"	0.2847472489508014
