Priority	amp[c]	atp[c]	pep[c]	pi[c]	pyr[c]	param_PPS_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/haldaneRatio_1.txt"	2.209787365
1	0	2.800000000000001e-6	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.09090909090909094
1	0	4.4377009388911215e-6	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.1368068886032101
1	0	7.033282008226834e-6	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.20076000891310197
1	0	0.00001114700077549792	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.28474724895080133
1	0	0.000017666805645445413	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.38686317984685703
1	0	0.000028000000000000013	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.5000000000000001
1	0	0.00004437700938891122	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.6131368201531433
1	0	0.00007033282008226833	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.7152527510491988
1	0	0.0001114700077549793	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.7992399910868985
1	0	0.00017666805645445412	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.86319311139679
1	0	0.00028000000000000014	0	0	1	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_atp.txt"	0.9090909090909092
1	0	1	0	0	8.299999999999997e-6	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.09090909090909087
1	0	1	0	0	0.000013154613497427242	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PPS_MASSpy_typeII/input/relRateFor_pyr.txt"	0.13680688860321
