Priority	pi[c]	pser[c]	ser[c]	param_PSPL_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/haldaneRatio_1.txt"	60.2
1	0	9.700000000000007e-6	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.09090909090909097
1	0	0.00001537346396687282	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.13680688860321016
1	0	0.000024365298385642967	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.200760008913102
1	0	0.00003861639554368923	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.2847472489508014
1	0	0.00006120286241457877	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.3868631798468571
1	0	0.00009700000000000008	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.5000000000000002
1	0	0.00015373463966872819	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.6131368201531432
1	0	0.00024365298385642967	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.7152527510491988
1	0	0.0003861639554368927	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.7992399910868985
1	0	0.0006120286241457877	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.8631931113967901
1	0	0.0009700000000000008	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/relRateFor_pser.txt"	0.9090909090909091
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
1	0	0.01	0	1	9	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PSPL_typeII/input/absRateFor.txt"	66.
