Priority	adp[c]	atp[c]	pep[c]	pyr[c]	param_PYK1_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/haldaneRatio_1.txt"	17602.30756
1	0.00003000000000000001	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.09090909090909095
1	0.00004754679577383344	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.1368068886032101
1	0.00007535659294528749	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.20076000891310194
1	0.00011943215116604925	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.28474724895080156
1	0.00018928720334405796	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.38686317984685703
1	0.00030000000000000014	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.5000000000000002
1	0.0004754679577383344	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.6131368201531433
1	0.0007535659294528749	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.7152527510491988
1	0.0011943215116604925	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.7992399910868985
1	0.0018928720334405796	0	0.002	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PYK1_MASSpy_typeII/input/relRateFor_adp.txt"	0.86319311139679
