elapsed_time, best.fitness, num_generations, pop_size, neighborhood_size, inertia, cognitive_rate, social_rate
1.588, 0.66234622855, 52, 20, 3, 1.0, 2.1, 2.1
0.935, 0.917989423479, 31, 20, 3, 1.0, 2.1, 2.1
1.075, 0.75836347627, 35, 20, 3, 1.0, 2.1, 2.1
1.494, 1.07048815897, 49, 20, 3, 1.0, 2.1, 2.1
1.056, 0.711875575508, 35, 20, 3, 1.0, 2.1, 2.1
1.421, 0.798234298971, 47, 20, 3, 1.0, 2.1, 2.1
1.051, 1.09568930103, 34, 20, 3, 1.0, 2.1, 2.1
1.241, 1.05795100162, 41, 20, 3, 1.0, 2.1, 2.1
0.882, 0.688746479157, 29, 20, 3, 1.0, 2.1, 2.1
1.141, 0.986732846904, 38, 20, 3, 1.0, 2.1, 2.1
