Priority	6pgc[c]	6pgl[c]	param_PGL_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/haldaneRatio_1.txt"	35988.51087
1	0	0.00001	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.09090909090909091
1	0	0.00001584893192461114	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.13680688860321005
1	0	0.000025118864315095822	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.20076000891310186
1	0	0.000039810717055349695	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.2847472489508013
1	0	0.00006309573444801929	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.3868631798468568
1	0	0.0001	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.5
1	0	0.00015848931924611142	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.6131368201531432
1	0	0.0002511886431509582	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.7152527510491988
1	0	0.00039810717055349735	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.7992399910868982
1	0	0.000630957344480193	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.8631931113967899
1	0	0.001	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/relRateFor_6pgl.txt"	0.9090909090909091
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
1	0	1	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/absRateFor.txt"	184.
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
3	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_Final_typeII/input/customRatio_1.txt"	0.000134
