Priority	6pgc[c]	6pgl[c]	param_PGL_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/haldaneRatio_1.txt"	21000
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
1	0	0.01	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGL_typeII/input/absRateFor.txt"	184.
