"Priority"	"Fitting Equation"	"Log10 residual"	"Log10 residual^2"	"Euclidean residual"	"Relative error"	"True value"	"Predicted Value"
""	""
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"haldaneRatio_1"	1.0809131367750524e-12	1.1683732092528832e-24	5.2255927585065365e-8	2.488377504050732e-10	21000	21000.000000052256
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
1	"absRateFor"	9.734435479913373e-13	9.47592341125963e-25	4.1239900383516215e-10	2.2412989338867507e-10	184.	183.9999999995876
