Priority	ru5p__D[c]	xu5p__D[c]	param_RPE_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/haldaneRatio_1.txt"	3.9
1	0.0001600000000000001	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.09090909090909095
1	0.0002535829107937784	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.13680688860321014
1	0.00040190182904153293	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.2007600089131018
1	0.0006369714728855961	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.28474724895080156
1	0.0010095317511683093	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.386863179846857
1	0.001600000000000001	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.5000000000000001
1	0.002535829107937784	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.6131368201531432
1	0.004019018290415333	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7152527510491989
1	0.006369714728855961	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.7992399910868984
1	0.010095317511683098	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.86319311139679
1	0.016000000000000007	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.9090909090909091
1	0.00017999999999999998	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.09090909090909091
1	0.0002852807746430005	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.13680688860321005
1	0.0004521395576717243	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.20076000891310172
1	0.0007165929069962951	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.2847472489508014
1	0.0011357232200643484	0	1	8.5	23	"/home/kevin/Desktop/MASSef/examples/fit_RPE_Final_typeII/input/relRateFor_ru5p__D.txt"	0.38686317984685714
