"Priority"	"Fitting Equation"	"Log10 residual"	"Log10 residual^2"	"Euclidean residual"	"Relative error"	"True value"	"Predicted Value"
""	""
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"haldaneRatio_1"	2.965735212967502e-9	8.795585353435394e-18	3.0251839366890465e-9	6.828857644896267e-7	0.443	0.44299999697481607
1	"relRateFor_r5p"	0.001554953328967601	2.4178798552674244e-6	0.00032491002928938806	0.3574010322183269	0.0909090909090909	0.09058418087980151
1	"relRateFor_r5p"	0.0014085457457398975	1.984001117841964e-6	0.0004429865377125475	0.3238042632468386	0.13680688860321005	0.1363639020654975
1	"relRateFor_r5p"	0.001204461863590467	1.4507283808438205e-6	0.0005560116058761222	0.2769533677978615	0.20076000891310172	0.2002039973072256
1	"relRateFor_r5p"	0.0009363003811653225	8.766584037703283e-7	0.0006132285410320182	0.21535889926647603	0.28474724895080145	0.2841340204097694
1	"relRateFor_r5p"	0.0006100328926911258	3.7214013016510265e-7	0.0005430269174215296	0.1403666582166055	0.38686317984685714	0.3863201529294356
1	"relRateFor_r5p"	0.000248266447895773	6.163622915078458e-8	0.0002857456293213212	0.05714912586426425	0.49999999999999994	0.4997142543706786
1	"relRateFor_r5p"	0.00011380159888405017	1.295080390856625e-8	0.00016068611540120958	0.026207220006959464	0.6131368201531431	0.6132975062685443
1	"relRateFor_r5p"	0.0004408592375715614	1.9435686735217842e-7	0.0007264330907311711	0.10156313130785899	0.7152527510491985	0.7159791841399297
1	"relRateFor_r5p"	0.0007100388899370091	5.041552252229802e-7	0.001307766171665059	0.1636262181884328	0.7992399910868982	0.8005477572585633
1	"relRateFor_r5p"	0.000915121006371658	8.374464563026762e-7	0.0018207898342557094	0.2109365575577137	0.86319311139679	0.8650139012310457
1	"relRateFor_r5p"	0.0010623638050692094	1.1286168543211293e-6	0.002226524916134731	0.24491774077482045	0.9090909090909091	0.9113174340070438
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"absRateFor"	2.9344149332644065e-9	8.610791000565151e-18	0.000014189153262123	6.75673964863e-7	2100.	2100.0000141891533
1	"relRateFor_r5p"	0.0010563672285155423	1.115911721481608e-6	0.00015183872531441406	0.2429419605030625	0.0625	0.062348161274685586
1	"relRateFor_r5p"	0.0006900638645246371	4.761881371226767e-7	0.0002764328667790583	0.15876690855066353	0.1741123948954683	0.17383596202868923
1	"relRateFor_r5p"	0.00005222874917981679	2.7278422408882133e-9	0.00004810734837912278	0.012026837094780696	0.39999999999999997	0.4000481073483791
1	"relRateFor_r5p"	0.0009683997049374782	9.377979885229948e-7	0.0015141067402303365	0.22323106281914507	0.6782688399674104	0.6797829467076407
1	"relRateFor_r5p"	0.001599345846660244	2.5579071372293723e-6	0.003208190537448141	0.3689419118065363	0.8695652173913043	0.8727734079287525
1	"relRateFor_r5p"	0.0004743542587328786	2.2501196277801877e-7	0.00005198308413423974	0.10916447668190349	0.04761904761904761	0.04756706453491337
1	"relRateFor_r5p"	0.00017853764323672028	3.187569005252241e-8	0.00005611448185283141	0.041101362660309684	0.1365270594958143	0.13647094501396148
1	"relRateFor_r5p"	0.0004769979045047834	2.2752700090195448e-7	0.0003663105492247576	0.10989316476742728	0.3333333333333333	0.3336996438825581
1	"relRateFor_r5p"	0.0014088130904800766	1.9847543239080244e-6	0.0019903630657464033	0.3249179197433224	0.6125741132772068	0.6145644763429532
1	"relRateFor_r5p"	0.0021468953595197154	4.6091596847272885e-6	0.00412970671449342	0.4955648057392104	0.8333333333333333	0.8374630400478267
1	"relRateFor_r5p"	0.0007764230902795877	6.028328151193047e-7	0.00005772191178644859	0.17893792653799062	0.03225806451612903	0.03231578642791548
1	"relRateFor_r5p"	0.0009892214619016126	9.785591006867636e-7	0.0002174500802217122	0.22803626728825394	0.09535767393825997	0.09557512401848169
1	"relRateFor_r5p"	0.001511181627574243	2.283669911517938e-6	0.000871421302230807	0.34856852089232293	0.24999999999999997	0.2508714213022308
1	"relRateFor_r5p"	0.0024008870381034275	5.764258569733049e-6	0.0028447699340425903	0.5543555657265057	0.513167019494862	0.5160117894289046
1	"relRateFor_r5p"	0.0032683310415081712	0.000010681987796885888	0.005810768392080834	0.7553998909705084	0.7692307692307692	0.77504153762285
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
1	"inhibRatio_ara5p_1"	0.00027739641837198903	7.694877292560758e-8	1.3409023192751356e-6	0.06385249139405408	0.0021	0.0020986590976807247
