"Priority"	"Fitting Equation"	"Log10 residual"	"Log10 residual^2"	"Euclidean residual"	"Relative error"	"True value"	"Predicted Value"
""	""
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"haldaneRatio_1"	3.929967462568129e-12	1.544464425684418e-23	4.008737786165284e-12	9.04906949472976e-10	0.443	0.44300000000400874
1	"relRateFor_r5p"	5.190514684727532e-12	2.694144269237215e-23	1.0865197630494094e-12	1.1951717393543506e-9	0.0909090909090909	0.09090909091017742
1	"relRateFor_r5p"	4.928502050915995e-12	2.4290132465883168e-23	1.5525081220602033e-12	1.1348172141850574e-9	0.13680688860321005	0.13680688860476256
1	"relRateFor_r5p"	4.563349698116781e-12	2.0824160467302516e-23	2.109451502363413e-12	1.0507329192620636e-9	0.20076000891310172	0.20076000891521117
1	"relRateFor_r5p"	4.083844373781176e-12	1.6677784869264164e-23	2.6775803796397213e-12	9.403358204533006e-10	0.28474724895080145	0.284747248953479
1	"relRateFor_r5p"	3.5006997300968123e-12	1.2254898600299895e-23	3.1183944315671397e-12	8.060716537566539e-10	0.38686317984685714	0.38686317984997554
1	"relRateFor_r5p"	2.85493850782359e-12	8.150673883453987e-24	3.286870775554007e-12	6.573741551108016e-10	0.49999999999999994	0.5000000000032868
1	"relRateFor_r5p"	2.208871974218596e-12	4.879115398488357e-24	3.1185054538696022e-12	5.086149373790165e-10	0.6131368201531431	0.6131368201562616
1	"relRateFor_r5p"	1.6258383528366949e-12	2.643350349554737e-24	2.6776358907909525e-12	3.743621939046233e-10	0.7152527510491985	0.7152527510518761
1	"relRateFor_r5p"	1.1462775173498585e-12	1.3139521467817552e-24	2.10953476909026e-12	2.639425945417812e-10	0.7992399910868982	0.7992399910890078
1	"relRateFor_r5p"	7.811251645506445e-13	6.101565226942715e-25	1.552535877635819e-12	1.798596231987484e-10	0.86319311139679	0.8631931113983425
1	"relRateFor_r5p"	5.190847751634919e-13	2.69449003806533e-25	1.0865752742006407e-12	1.1952328016207048e-10	0.9090909090909091	0.9090909090919956
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"absRateFor"	3.6415315207705135e-14	1.3260751816765208e-27	1.7462298274040222e-10	8.315380130495343e-12	2100.	2100.0000000001746
1	"relRateFor_r5p"	4.128031250161257e-12	1.704064200230791e-23	5.940664626891135e-13	9.505063403025815e-10	0.0625	0.06250000000059407
1	"relRateFor_r5p"	3.6365355171597002e-12	1.3224390567563969e-23	1.4579448759377556e-12	8.373584642340143e-10	0.1741123948954683	0.17411239489692623
1	"relRateFor_r5p"	2.6420532428517163e-12	6.98044533806327e-24	2.433386825373418e-12	6.083467063433545e-10	0.39999999999999997	0.40000000000243335
1	"relRateFor_r5p"	1.4166168238460841e-12	2.0068032256037673e-24	2.212452443473012e-12	3.2619107838999596e-10	0.6782688399674104	0.6782688399696228
1	"relRateFor_r5p"	5.743391873203052e-13	3.2986550209174863e-25	1.1499690089067371e-12	1.3224643602427477e-10	0.8695652173913043	0.8695652173924543
1	"relRateFor_r5p"	3.5713654256142036e-12	1.2754651003272521e-23	3.9160341636090834e-13	8.223671743579077e-10	0.04761904761904761	0.04761904761943921
1	"relRateFor_r5p"	3.237965451319269e-12	1.0484420263937198e-23	1.0179079801275748e-12	7.455723311456672e-10	0.1365270594958143	0.13652705949683222
1	"relRateFor_r5p"	2.5000002068509275e-12	6.25000103425468e-24	1.9188539646108893e-12	5.756561893832668e-10	0.3333333333333333	0.33333333333525217
1	"relRateFor_r5p"	1.4529211167513267e-12	2.1109797715019224e-24	2.0493606811555765e-12	3.3454901810847237e-10	0.6125741132772068	0.6125741132792561
1	"relRateFor_r5p"	6.250694406517709e-13	3.907118056367178e-25	1.1993739335025566e-12	1.4392487202030682e-10	0.8333333333333333	0.8333333333345326
1	"relRateFor_r5p"	2.9969360326731476e-12	8.981625583934665e-24	2.226066553312478e-13	6.900806315268682e-10	0.03225806451612903	0.03225806451635164
1	"relRateFor_r5p"	2.80153678033912e-12	7.848608331592883e-24	6.151468223691836e-13	6.450941984674091e-10	0.09535767393825997	0.09535767393887512
1	"relRateFor_r5p"	2.32269758981829e-12	5.394924093747693e-24	1.3370693441316917e-12	5.348277376526768e-10	0.24999999999999997	0.25000000000133704
1	"relRateFor_r5p"	1.5076828674409626e-12	2.273107628775003e-24	1.7814638653135262e-12	3.4715088804169785e-10	0.513167019494862	0.5131670194966435
1	"relRateFor_r5p"	7.146921943146367e-13	5.107849326142704e-25	1.2658762926776035e-12	1.6456391804808845e-10	0.7692307692307692	0.769230769232035
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
1	"inhibRatio_ara5p_1"	3.9190872769268026e-12	1.535924508416954e-23	1.8950552932439635e-14	9.024072824971255e-10	0.0021	0.0020999999999810493
