Priority	e4p[c]	f6p[c]	g3p[c]	s7p[c]	pi[c]	param_TALA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/haldaneRatio_1.txt"	0.840336135
1	0	0	3.7999999999999996e-6	1	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.09090909090909091
1	0	0	6.022594131352233e-6	1	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.13680688860321005
1	0	0	9.545168439736411e-6	1	0	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.20076000891310186
