Priority	g3p[c]	r5p[c]	s7p[c]	xu5p__D[c]	param_TKT1_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/haldaneRatio_1.txt"	4.72
1	0	0.00014000000000000004	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.09090909090909093
1	0	0.00022188504694455605	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.13680688860321008
1	0	0.00035166410041134126	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.20076000891310175
1	0	0.0005573500387748965	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.2847472489508015
1	0	0.0008833402822722705	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.3868631798468569
1	0	0.0014000000000000004	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.5000000000000001
1	0	0.0022188504694455606	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.6131368201531432
1	0	0.0035166410041134162	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.7152527510491987
1	0	0.005573500387748964	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.7992399910868982
1	0	0.008833402822722705	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.86319311139679
1	0	0.014000000000000005	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT1_typeII/input/relRateFor_r5p.txt"	0.9090909090909092
