"Priority"	"Fitting Equation"	"Log10 residual"	"Log10 residual^2"	"Euclidean residual"	"Relative error"	"True value"	"Predicted Value"
""	""
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"haldaneRatio_1"	8.693046282814976e-14	7.556905367516327e-27	9.441336601412331e-13	2.0002831782653246e-11	4.72	4.719999999999056
1	"relRateFor_r5p"	5.985656414964069e-12	3.582808271800051e-23	1.2529560722285282e-12	1.3782516794513808e-9	0.09090909090909093	0.09090909090783797
1	"relRateFor_r5p"	5.683564729963564e-12	3.23029080396858e-23	1.790373405086143e-12	1.3086865898097276e-9	0.13680688860321008	0.1368068886014197
1	"relRateFor_r5p"	5.2623461144207795e-12	2.7692286627959476e-23	2.4326096692561805e-12	1.211700319414275e-9	0.20076000891310175	0.20076000891066914
1	"relRateFor_r5p"	4.7094550481574515e-12	2.2178966850615704e-23	3.0877522760874854e-12	1.0843835322254458e-9	0.2847472489508015	0.28474724894771375
1	"relRateFor_r5p"	4.0370484732932255e-12	1.6297760375719163e-23	3.5961233990633446e-12	9.29559489348896e-10	0.3868631798468569	0.3868631798432608
1	"relRateFor_r5p"	3.2921443349209767e-12	1.083821432195228e-23	3.790190383767822e-12	7.580380767535642e-10	0.5000000000000001	0.4999999999962099
1	"relRateFor_r5p"	2.5471014186706498e-12	6.487725636994037e-24	3.596012376760882e-12	5.864942796719834e-10	0.6131368201531432	0.6131368201495472
1	"relRateFor_r5p"	1.8747781105332706e-12	3.5147929637347e-24	3.087641253785023e-12	4.31685337701363e-10	0.7152527510491987	0.7152527510461111
1	"relRateFor_r5p"	1.3218454109065192e-12	1.7472752903346246e-24	2.4326096692561805e-12	3.043653591392541e-10	0.7992399910868982	0.7992399910844656
1	"relRateFor_r5p"	9.007655732418129e-13	8.113786179376519e-25	1.7903456495105274e-12	2.0740963127166882e-10	0.86319311139679	0.8631931113949997
1	"relRateFor_r5p"	5.98590621514461e-13	3.5831073216506866e-25	1.2529977055919517e-12	1.3782974761511466e-10	0.9090909090909092	0.9090909090896562
