"Priority"	"Fitting Equation"	"Log10 residual"	"Log10 residual^2"	"Euclidean residual"	"Relative error"	"True value"	"Predicted Value"
""	""	""	""	""	""	""	""
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"haldaneRatio_1"	2.920117623261831e-7	8.527086933684324e-14	941335.017578125	0.00006723821554129465	1.4e12	1.4000009413350176e12
1	"relRateFor_e4p"	0.000015362310294975146	2.3600057759909934e-10	3.215672823728144e-6	0.0035372401061009584	0.09090909090909091	0.09090587523626718
1	"relRateFor_e4p"	0.000012470775689887859	1.55520246307498e-10	3.928356441890157e-6	0.0028714609929356883	0.13680688860321008	0.1368029602467682
1	"relRateFor_e4p"	8.441734141384494e-6	7.12628753138166e-11	3.90229722216362e-6	0.0019437622279906916	0.2007600089131019	0.20075610661587973
1	"relRateFor_e4p"	3.150487849601369e-6	9.925573690485858e-12	2.0656248962969137e-6	0.0007254240045893508	0.28474724895080167	0.28474518332590537
1	"relRateFor_e4p"	3.2829636369413606e-6	1.0777850241479245e-11	2.9244271000927746e-6	0.0007559331702878608	0.386863179846857	0.38686610427395707
1	"relRateFor_e4p"	0.000010410858390152988	1.0838597241981887e-10	0.000011986087331217199	0.00239721746624344	0.5	0.5000119860873312
