Priority	3psme[c]	pep[c]	pi[c]	skm5p[c]	param_PSCVT_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	0	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/haldaneRatio_1.txt"	172
1	0	1.5000000000000005e-6	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909093
1	0	2.377339788691672e-6	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321008
1	0	3.767829647264374e-6	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310192
1	0	5.971607558302455e-6	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508013
1	0	9.464360167202897e-6	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.3868631798468569
1	0	0.000015000000000000004	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.5
1	0	0.000023773397886916717	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	0.000037678296472643745	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491988
1	0	0.000059716075583024555	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.799239991086898
1	0	0.00009464360167202897	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	0.00015000000000000004	0	0.0002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.909090909090909
1	0	0.0005	0	3.5000000000000004e-7	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.09090909090909091
1	0	0.0005	0	5.5471261736139e-7	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.13680688860321005
1	0	0.0005	0	8.791602510283538e-7	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.2007600089131019
1	0	0.0005	0	1.3933750969372394e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.2847472489508013
1	0	0.0005	0	2.208350705680676e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.38686317984685686
1	0	0.0005	0	3.5000000000000004e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.5
1	0	0.0005	0	5.5471261736139e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.6131368201531432
1	0	0.0005	0	8.791602510283538e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7152527510491987
1	0	0.0005	0	0.000013933750969372393	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7992399910868981
1	0	0.0005	0	0.000022083507056806758	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.8631931113967899
1	0	0.0005	0	0.000035000000000000004	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.9090909090909093
1	0.00005	0	0.00024999999999999995	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateRev_pi.txt"	0.0909090909090909
1	0.00005	0	0.0003962232981152784	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateRev_pi.txt"	0.13680688860321003
1	0.00005	0	0.0006279716078773948	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateRev_pi.txt"	0.20076000891310167
1	0.00005	0	0.0009952679263837431	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateRev_pi.txt"	0.2847472489508014
