Priority	3dhsk[c]	nadp[c]	nadph[c]	skm[c]	param_SHK3Dr_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\haldaneRatio_1.txt"	1.1e12
1	0	0.00001	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.09090909090909091
1	0	0.00001584893192461114	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.13680688860321005
1	0	0.000025118864315095822	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.20076000891310186
1	0	0.000039810717055349695	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.2847472489508013
1	0	0.00006309573444801929	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.3868631798468568
1	0	0.0001	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.5
1	0	0.00015848931924611142	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.6131368201531432
1	0	0.0002511886431509582	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.7152527510491988
1	0	0.00039810717055349735	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.7992399910868982
1	0	0.000630957344480193	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.8631931113967899
1	0	0.001	0	1	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_nadp.txt"	0.9090909090909091
1	0	1	0	0.000012000000000000007	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.09090909090909095
1	0	1	0	0.00001901871830953338	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.13680688860321014
1	0	1	0	0.000030142637178115006	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.20076000891310197
1	0	1	0	0.00004777286046641966	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.28474724895080133
1	0	1	0	0.0000757148813376232	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.386863179846857
1	0	1	0	0.00012000000000000008	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.5000000000000002
1	0	1	0	0.00019018718309533382	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.6131368201531432
1	0	1	0	0.00030142637178115007	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.7152527510491989
1	0	1	0	0.0004777286046641971	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.7992399910868982
1	0	1	0	0.0007571488133762321	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.86319311139679
1	0	1	0	0.0012000000000000008	1	9	20	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\relRateRev_skm.txt"	0.9090909090909091
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
1	0	1	0	1	1	9	37	"C:\MASSef\Enzyme\SHK3Dr\fit_SHK3Dr_typeII\input\absRateRev.txt"	0.5554997610817985
