"Priority"	"Fitting Equation"	"Log10 residual"	"Log10 residual^2"	"Euclidean residual"	"Relative error"	"True value"	"Predicted Value"
""	""
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"haldaneRatio_1"	6.304183841621125e-10	3.9742733908956884e-19	1.6403026e7	1.451595221238938e-7	1.13e16	1.1299999983596974e16
1	"relRateFor_gln__L"	0.00005803755514732778	3.3683578074791134e-9	0.000012147952760804825	0.013362748036885298	0.09090909090909098	0.09089694295633018
1	"relRateFor_gln__L"	0.00004721351935499385	2.229116409884379e-9	0.000014871898834534214	0.010870723679469197	0.13680688860321016	0.13679201670437563
1	"relRateFor_gln__L"	0.00003213106344679417	1.0324052382219127e-9	0.000014852580991042696	0.0073981770928649255	0.20076000891310203	0.20074515633211099
1	"relRateFor_gln__L"	0.000012323042772210968	1.51857383165741e-10	8.079547154704603e-6	0.0028374452025348904	0.28474724895080167	0.28473916940364696
1	"relRateFor_gln__L"	0.000011761766858409128	1.3833915963157134e-10	0.000010477351964799375	0.0027082835768828966	0.3868631798468571	0.3868736571988219
1	"relRateFor_gln__L"	0.00003844749581555229	1.4782099344869109e-9	0.00004426627475140332	0.008853254950280661	0.5000000000000002	0.5000442662747516
1	"relRateFor_gln__L"	0.00006513486460926754	4.242550587667613e-9	0.00009196427861146717	0.014998981563119504	0.6131368201531433	0.6132287844317548
1	"relRateFor_gln__L"	0.00008922397035027174	7.960916885066171e-9	0.00014696075796205577	0.020546688949672706	0.7152527510491989	0.715399711807161
1	"relRateFor_gln__L"	0.00010903752688566637	1.1889182269342417e-8	0.00020068892537727923	0.025109970423822178	0.7992399910868984	0.7994406800122756
1	"relRateFor_gln__L"	0.00012412541025025314	1.5407117469793647e-8	0.0002467438947688638	0.028585016667891518	0.8631931113967901	0.863439855291559
1	"relRateFor_gln__L"	0.00013495398714712115	1.821257864690534e-8	0.0002825375678768838	0.031079132466457212	0.9090909090909093	0.9093734466587862
1	"relRateFor_chor"	6.010684849844239e-7	3.612833236414706e-13	1.258191250630425e-7	0.00013840103756934666	0.09090909090909097	0.0909089650899659
1	"relRateFor_chor"	5.444102322282873e-7	2.9638250095485776e-13	1.7149428882534679e-7	0.00012535500995329465	0.1368068886032101	0.13680671710892128
1	"relRateFor_chor"	4.654636858170136e-7	2.1665644281435954e-13	2.1516838810686778e-7	0.00010717691699246855	0.20076000891310197	0.20075979374471387
1	"relRateFor_chor"	3.6178611828585616e-7	1.308891953843475e-13	2.3720669561910768e-7	0.00008330429758079673	0.2847472489508014	0.28474701174410577
1	"relRateFor_chor"	2.357296587374158e-7	5.5568472008458514e-14	2.0998447924913677e-7	0.000054278745093358544	0.38686317984685703	0.3868629698623778
1	"relRateFor_chor"	9.606847939380714e-8	9.229152733038347e-15	1.1060291205122752e-7	0.000022120582410245497	0.5000000000000001	0.49999988939708806
1	"relRateFor_chor"	4.3592744858322874e-8	1.9003274042828354e-15	6.154422727000508e-8	0.000010037600947637294	0.6131368201531433	0.6131368816973706
1	"relRateFor_chor"	1.6964932186835924e-7	2.878089241039415e-14	2.7940066693599164e-7	0.000039063207590063915	0.7152527510491989	0.7152530304498659
1	"relRateFor_chor"	2.7332704088944837e-7	7.470767128138218e-14	5.030088559010437e-7	0.00006293589679077426	0.7992399910868984	0.7992404940957543
1	"relRateFor_chor"	3.522737361122408e-7	1.2409678515447665e-13	7.001709630971575e-7	0.00008111405823943202	0.86319311139679	0.8631938115677531
1	"relRateFor_chor"	4.089321132341728e-7	1.6722547323416632e-13	8.560013011749135e-7	0.00009416014312924047	0.9090909090909092	0.9090917650922103
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"absRateFor"	7.2380472726507605e-9	5.238932832112711e-17	8.114126615055284e-8	1.6666219913344972e-6	4.868606473	4.868606554141266
1	"relRateFor_chor"	4.094722056979805e-7	1.6766748723916923e-13	5.892775954696727e-8	0.00009428441527514757	0.06250000000000004	0.062499941072240495
1	"relRateFor_chor"	2.67655721031268e-7	7.163958500076796e-14	1.0730544863779556e-7	0.00006162998832002647	0.17411239489546843	0.1741122875900198
1	"relRateFor_chor"	1.936080623599068e-8	3.748408181075756e-16	1.783196196258885e-8	4.45799049064721e-6	0.4000000000000002	0.40000001783196215
1	"relRateFor_chor"	3.729340573577211e-7	1.3907981113729203e-13	5.824381142938151e-7	0.0000858712769883104	0.6782688399674107	0.678269422405525
1	"relRateFor_chor"	6.159987447212911e-7	3.794544534982064e-13	1.233383072007932e-6	0.00014183905328091218	0.8695652173913043	0.8695664507743763
1	"relRateFor_chor"	1.8502806664599802e-7	3.4235385446755886e-14	2.028775130530347e-8	0.000042604277741137266	0.047619047619047644	0.04761902733129634
1	"relRateFor_chor"	7.045214756029594e-8	4.963505095857714e-15	2.214769970199093e-8	0.00001622220516854384	0.1365270594958144	0.1365270373481147
1	"relRateFor_chor"	1.831725686685104e-7	3.355218991262015e-14	1.4059017167111776e-7	0.0000421770515013353	0.33333333333333354	0.3333334739235052
1	"relRateFor_chor"	5.430310843212993e-7	2.948827585391661e-13	7.659480071309233e-7	0.00012503760614910448	0.6125741132772071	0.6125748792252143
1	"relRateFor_chor"	8.275244317429431e-7	6.847966851314809e-13	1.5878726966622736e-6	0.00019054472359947283	0.8333333333333334	0.83333492120603
1	"relRateFor_chor"	2.988269796055931e-7	8.929756374020157e-14	2.219596081931563e-8	0.00006880747853987841	0.03225806451612905	0.03225808671208987
1	"relRateFor_chor"	3.812847775286343e-7	1.4537808157506018e-13	8.371841450638406e-8	0.00008779410303211477	0.09535767393826003	0.09535775765667454
1	"relRateFor_chor"	5.833695437829078e-7	3.40320024613478e-13	3.3581472935750867e-7	0.00013432589174300339	0.25000000000000017	0.2500003358147295
1	"relRateFor_chor"	9.272733146881151e-7	8.598358001326842e-13	1.095677267359818e-6	0.00021351279909577047	0.5131670194948621	0.5131681151721295
1	"relRateFor_chor"	1.2618948720954926e-6	1.5923786682208996e-12	2.235095802105569e-6	0.00029056245427372396	0.7692307692307693	0.7692330043265714
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
1	"inhibRatio_trp__L_1"	1.086000001038201e-7	1.1793960022549724e-14	2.500607098757855e-13	0.00002500607098757855	1.e-6	9.9999974993929e-7
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
3	"customRatio_1"	1.475086719437968e-11	2.1758808298622665e-22	8.543682525775226e-17	3.3965904853340194e-9	2.515370211e-6	2.515370211085437e-6
