Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (øC),Buffer/Media,Uniprot,References,Data Point,Notes
1,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Km,0.0016,,mM,,,,7.5,,,,RF1,,at  and 37_C
2,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Km,0.09,,mM,,,,7.5,,,,RF2,,25_C
3,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.000047,,mM,,,,,,,,RF3,,genetically engineered monofunctional enzyme form IGPS[1-259]
4,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.00021,,mM,,,,,,,,RF4,,mutant Leu5Val
5,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.00034,,mM,,,,,,,,RF4,,wild-type enzyme
6,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.00042,,mM,,,,,,,,RF3,,bifunctional enzyme
7,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.0012,,mM,,,,,,,,RF5,,wild-type enzyme
8,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.005,,mM,,,,,,,,RF6,,
9,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.0058,,mM,,,,,,,,RF7,,
10,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.013,,mM,,,,,,,,RF3,,genetically engineered monofunctional enzyme form IGPS[1-252FAG]
11,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Km,0.54,,mM,,,,,,,,RF5,,mutant Lys55Ser
12,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,kcat,1.2,,1/s,,,,7.5,,,,RF2,,25_C
13,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,kcat,4.1,,1/s,,,,7.5,,,,RF1,,at  and 25_C
14,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,kcat,9.3,,1/s,,,,7.5,,,,RF1,,at  and 37_C
15,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,kcat,0.12,,1/s,,,,,,,,RF5,,mutant enzyme Lys55Ser
16,indole-3-glycerol-phosphate synthase,,,4.1.1.48,,Escherichia coli,,,,,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,kcat,2,,1/s,,,,,,,,RF4,,mutant Leu5Val
