Priority	3ig3p[c]	g3p[c]	ser__L[c]	trp__L[c]	param_TRPS1_total	param_pH	param_Temp	FileFlag	Target_Data
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/haldaneRatio_1.txt"	135031.8001
1	1	0	0.00001	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.09090909090909091
1	1	0	0.00001584893192461114	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.13680688860321005
1	1	0	0.000025118864315095822	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.20076000891310186
1	1	0	0.000039810717055349695	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.2847472489508013
1	1	0	0.00006309573444801929	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.3868631798468568
1	1	0	0.0001	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.5
1	1	0	0.00015848931924611142	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TRPS1_Final_Assumed_Km_typeII/input/relRateFor_ser__L.txt"	0.6131368201531432
