t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1	t	v_1
0.	0.021719001670892864	0.	0.021718296259450657	0.	0.021718176436051534	0.	0.021717869016235358	0.	0.021588255716448228	0.	0.021591401268571255	0.	0.021615763053131416	0.	0.021717141132351802	0.	0.021706523680096648	0.	0.021711586668913496	0.	0.021491702749778886	0.	0.021711866390505416	0.	0.021709238177591187	0.	0.02161564692595145	0.	0.0216931710817744	0.	0.021481646174200272	0.	0.02156031316361737	0.	0.021588326006772036	0.	0.021715402470828406	0.	0.021586984157863653	0.	0.021718152462134432	0.	0.02171693426954607	0.	0.02167266978927112	0.	0.02166261272268998	0.	0.021677862133302802	0.	0.021648493563402812	0.	0.021718170039246903	0.	0.02166188042552388	0.	0.02171802892697574	0.	0.021665368897560305	0.	0.02169352408550562	0.	0.021655987535847205	0.	0.02166322241432697	0.	0.021660413777533114	0.	0.021662740525313032	0.	0.021690788549336048	0.	0.021667946958127536	0.	0.02166538512195346	0.	0.02168603820842919	0.	0.021718095110258132	0.	0.0217171586730168	0.	0.02166760931214101	0.	0.021710567101845622	0.	0.021715673188369367	0.	0.021665974257233322	0.	0.0216717258379969	0.	0.021703292714486008	0.	0.02166871806714679	0.	0.021677977748240984	0.	0.021706827022162752	0.	0.021717055268109752	0.	0.021717127772387507	0.	0.02171723255879687	0.	0.02170367185652144	0.	0.021699148132302778	0.	0.021664315387024402	0.	0.02171678519004149	0.	0.02165427203826131	0.	0.02171709444882413	0.	0.02165902077780465	0.	0.021709361181171546	0.	0.021714811848892717	0.	0.021715655733846068	0.	0.021717834811867277	0.	0.021557207077395692	0.	0.020460322746648253
1.e-6	0.021717623578448864	1.e-6	0.021716918243383662	1.e-6	0.021716798434279268	1.e-6	0.02171649102411737	1.e-6	0.021586881646719906	1.e-6	0.021590027103136938	1.e-6	0.021614388147244958	1.e-6	0.02171576316218112	1.e-6	0.021705146029567628	1.e-6	0.021710208865928202	1.e-6	0.021490331631212858	1.e-6	0.021710488579102575	1.e-6	0.021707860445320342	1.e-6	0.02161427202361198	1.e-6	0.021691793833665037	1.e-6	0.02148027536445526	1.e-6	0.021558939945433755	1.e-6	0.0215869519349606	1.e-6	0.02171402455301197	1.e-6	0.021585610126914692	1.e-6	0.021716774461607826	1.e-6	0.021715556305680915	1.e-6	0.021671293160028193	1.e-6	0.021661236397429506	1.e-6	0.021676485347364473	1.e-6	0.02164711766550511	1.e-6	0.02171679203845259	1.e-6	0.02166050412263562	1.e-6	0.021716650930750002	1.e-6	0.021663992489730548	1.e-6	0.021692146827667857	1.e-6	0.02165461141180332	1.e-6	0.02166184607166826	1.e-6	0.02165903752028194	1.e-6	0.021661364197719263	1.e-6	0.021689411375206576	1.e-6	0.021666570473738433	1.e-6	0.02166400871518329	1.e-6	0.02168466117795649	1.e-6	0.021716717113917296	1.e-6	0.02171578070485635	1.e-6	0.02166623283826576	1.e-6	0.02170918933213032	1.e-6	0.021714295264980088	1.e-6	0.02166459783283265	1.e-6	0.021670349239801948	1.e-6	0.02170191516392384	1.e-6	0.021667341559845937	1.e-6	0.02167660096122609	1.e-6	0.02170544936514592	1.e-6	0.021715677303192807	1.e-6	0.021715749805297092	1.e-6	0.021715854588560624	1.e-6	0.021702294294615832	1.e-6	0.021697770706711368	1.e-6	0.021662939014151963	1.e-6	0.021715407234846187	1.e-6	0.021652895969971792	1.e-6	0.021715716485130196	1.e-6	0.02165764457048463	1.e-6	0.021707983456801996	1.e-6	0.021713433963293064	1.e-6	0.02171427782288141	1.e-6	0.021716456838135487	1.e-6	0.02155583397568845	1.e-6	0.020459077554937356
1.2589254117941661e-6	0.021717266803914375	1.2589254117941661e-6	0.021716561488621628	1.2589254117941661e-6	0.02171644168321781	1.2589254117941661e-6	0.021716134275555785	1.2589254117941661e-6	0.021586525913833463	1.2589254117941661e-6	0.02158967134546814	1.2589254117941661e-6	0.021614032197841526	1.2589254117941661e-6	0.021715406419302637	1.2589254117941661e-6	0.021704789369458227	1.2589254117941661e-6	0.02170985216634127	1.2589254117941661e-6	0.021489976662507012	1.2589254117941661e-6	0.021710131877335972	1.2589254117941661e-6	0.02170750376404444	1.2589254117941661e-6	0.021613916075127016	1.2589254117941661e-6	0.02169143727775948	1.2589254117941661e-6	0.02147992047571613	1.2589254117941661e-6	0.021558584433048388	1.2589254117941661e-6	0.021586596201534747	1.2589254117941661e-6	0.02171366782369027	1.2589254117941661e-6	0.021585254404069866	1.2589254117941661e-6	0.021716417710868883	1.2589254117941661e-6	0.02171519956443521	1.2589254117941661e-6	0.021670936764373837	1.2589254117941661e-6	0.02166088008048929	1.2589254117941661e-6	0.021676128911134927	1.2589254117941661e-6	0.02164676145922747	1.2589254117941661e-6	0.021716435287644296	1.2589254117941661e-6	0.02166014781148852	1.2589254117941661e-6	0.021716294181124682	1.2589254117941661e-6	0.021663636151409527	1.2589254117941661e-6	0.02169179026924312	1.2589254117941661e-6	0.021654255146966655	1.2589254117941661e-6	0.02166148975022281	1.2589254117941661e-6	0.021658681220952127	1.2589254117941661e-6	0.021661007880174728	1.2589254117941661e-6	0.02168905483845742	1.2589254117941661e-6	0.021666214115592785	1.2589254117941661e-6	0.021663652377136508	1.2589254117941661e-6	0.021684304678406242	1.2589254117941661e-6	0.021716360364262013	1.2589254117941661e-6	0.021715423962498186	1.2589254117941661e-6	0.021665876482842576	1.2589254117941661e-6	0.0217088326411582	1.2589254117941661e-6	0.02171393853421511	1.2589254117941661e-6	0.021664241490220556	1.2589254117941661e-6	0.021669992852187025	1.2589254117941661e-6	0.021701558529699946	1.2589254117941661e-6	0.021666985195767416	1.2589254117941661e-6	0.02167624452471755	1.2589254117941661e-6	0.021705092703356303	1.2589254117941661e-6	0.021715320561674512	1.2589254117941661e-6	0.021715393063215994	1.2589254117941661e-6	0.02171549784566494	1.2589254117941661e-6	0.021701937657454623	1.2589254117941661e-6	0.0216974141048478	1.2589254117941661e-6	0.02166258268488263	1.2589254117941661e-6	0.021715050495845108	1.2589254117941661e-6	0.02165253971957199	1.2589254117941661e-6	0.021715359743928384	1.2589254117941661e-6	0.021657288284083448	1.2589254117941661e-6	0.021707626777571053	1.2589254117941661e-6	0.021713077242312414	1.2589254117941661e-6	0.021713921095332663	1.2589254117941661e-6	0.021716100094333363	1.2589254117941661e-6	0.02155547849346185	1.2589254117941661e-6	0.020458755185767973
1.584893192461114e-6	0.021716817679562156	1.584893192461114e-6	0.021716112389159412	1.584893192461114e-6	0.021715992588413956	1.584893192461114e-6	0.021715685183899165	1.584893192461114e-6	0.021586078100876243	1.584893192461114e-6	0.021589223501310827	1.584893192461114e-6	0.02161358411229716	1.584893192461114e-6	0.021714957334800857	1.584893192461114e-6	0.021704340389159867	1.584893192461114e-6	0.021709403136342058	1.584893192461114e-6	0.02148952981162518	1.584893192461114e-6	0.021709682844592633	1.584893192461114e-6	0.021707054757098186	1.584893192461114e-6	0.021613467990738957	1.584893192461114e-6	0.021690988428650183	1.584893192461114e-6	0.021479473725509398	1.584893192461114e-6	0.02155813689769405	1.584893192461114e-6	0.021586148387898425	1.584893192461114e-6	0.021713218756256012	1.584893192461114e-6	0.021584806603754683	1.584893192461114e-6	0.02171596861647103	1.584893192461114e-6	0.021714750481989023	1.584893192461114e-6	0.021670488117015253	1.584893192461114e-6	0.02166043153222906	1.584893192461114e-6	0.021675680212693563	1.584893192461114e-6	0.021646313050287525	1.584893192461114e-6	0.02171598619315913	1.584893192461114e-6	0.021659699270521592	1.584893192461114e-6	0.021715845088128818	1.584893192461114e-6	0.02166318757623157	1.584893192461114e-6	0.02169134141696221	1.584893192461114e-6	0.021653806664302933	1.584893192461114e-6	0.021661041196290576	1.584893192461114e-6	0.021658232694862698	1.584893192461114e-6	0.021660559331153593	1.584893192461114e-6	0.021688606013465263	1.584893192461114e-6	0.02166576551545624	1.584893192461114e-6	0.02166320380230373	1.584893192461114e-6	0.02168385590024621	1.584893192461114e-6	0.02171591127122833	1.584893192461114e-6	0.02171497487865132	1.584893192461114e-6	0.021665427886133497	1.584893192461114e-6	0.021708383622004605	1.584893192461114e-6	0.02171348946496368	1.584893192461114e-6	0.02166379290964019	1.584893192461114e-6	0.021669544214949682	1.584893192461114e-6	0.021701109581990424	1.584893192461114e-6	0.021666536588161568	1.584893192461114e-6	0.02167579582592484	1.584893192461114e-6	0.021704643720942482	1.584893192461114e-6	0.021714871478885022	1.584893192461114e-6	0.021714943979717943	1.584893192461114e-6	0.02171504876114135	1.584893192461114e-6	0.021701488706047115	1.584893192461114e-6	0.021696965197878813	1.584893192461114e-6	0.021662134121100258	1.584893192461114e-6	0.021714601416224614	1.584893192461114e-6	0.02165209125508357	1.584893192461114e-6	0.021714910661537204	1.584893192461114e-6	0.021656839774270315	1.584893192461114e-6	0.021707177773198746	1.584893192461114e-6	0.021712628185378502	1.584893192461114e-6	0.021713472030129737	1.584893192461114e-6	0.021715651008667836	1.584893192461114e-6	0.0215550309960752	1.584893192461114e-6	0.020458349371722532
1.9952623149688787e-6	0.021716252309897054	1.9952623149688787e-6	0.02171554705082579	1.9952623149688787e-6	0.021715427255944234	1.9952623149688787e-6	0.021715119855391703	1.9952623149688787e-6	0.021585514382219517	1.9952623149688787e-6	0.021588659743373984	1.9952623149688787e-6	0.021613020050460237	1.9952623149688787e-6	0.02171439201530115	1.9952623149688787e-6	0.0217037752008498	1.9952623149688787e-6	0.02170883788545979	1.9952623149688787e-6	0.02148896730419555	1.9952623149688787e-6	0.02170911759025558	1.9952623149688787e-6	0.021706489535239053	1.9952623149688787e-6	0.0216129039303578	1.9952623149688787e-6	0.02169042340550398	1.9952623149688787e-6	0.021478911344826917	1.9952623149688787e-6	0.02155757352853207	1.9952623149688787e-6	0.02158558466838672	1.9952623149688787e-6	0.021712653458243913	1.9952623149688787e-6	0.02158424290101394	1.9952623149688787e-6	0.021715403284512408	1.9952623149688787e-6	0.02171418516507726	1.9952623149688787e-6	0.021669923347868277	1.9952623149688787e-6	0.021659866887844475	1.9952623149688787e-6	0.021675115379234618	1.9952623149688787e-6	0.02164574858130371	1.9952623149688787e-6	0.02171542086109056	1.9952623149688787e-6	0.021659134635319086	1.9952623149688787e-6	0.021715279757935226	1.9952623149688787e-6	0.021662622897958166	1.9952623149688787e-6	0.021690776389822954	1.9952623149688787e-6	0.021653242102502652	1.9952623149688787e-6	0.021660476544765005	1.9952623149688787e-6	0.021657668078390476	1.9952623149688787e-6	0.021659994685810927	1.9952623149688787e-6	0.021688041020681784	1.9952623149688787e-6	0.02166520080576048	1.9952623149688787e-6	0.021662639124464766	1.9952623149688787e-6	0.021683290966423206	1.9952623149688787e-6	0.02171534594098696	1.9952623149688787e-6	0.02171440955997595	1.9952623149688787e-6	0.021664863180752815	1.9952623149688787e-6	0.021707818384776516	1.9952623149688787e-6	0.0217129241646636	1.9952623149688787e-6	0.021663228224565165	1.9952623149688787e-6	0.021668979458544894	1.9952623149688787e-6	0.021700544434708702	1.9952623149688787e-6	0.021665971869062113	1.9952623149688787e-6	0.021675230992023356	1.9952623149688787e-6	0.02170407852996888	1.9952623149688787e-6	0.021714306161540835	1.9952623149688787e-6	0.021714378661481713	1.9952623149688787e-6	0.02171448344161397	1.9952623149688787e-6	0.021700923554109713	1.9952623149688787e-6	0.02169640010188844	1.9952623149688787e-6	0.021661569457173374	1.9952623149688787e-6	0.021714036102870003	1.9952623149688787e-6	0.02165152671616524	1.9952623149688787e-6	0.02171434534469429	1.9952623149688787e-6	0.021656275178288928	1.9952623149688787e-6	0.021706612554579206	1.9952623149688787e-6	0.02171206290058493	1.9952623149688787e-6	0.021712906734925666	1.9952623149688787e-6	0.021715085687701623	1.9952623149688787e-6	0.021554467674711784	1.9952623149688787e-6	0.02045783852101974
2.5118864315095823e-6	0.021715540621500676	2.5118864315095823e-6	0.021714835401868377	2.5118864315095823e-6	0.021714715614368038	2.5118864315095823e-6	0.021714408218803907	2.5118864315095823e-6	0.021584804772414323	2.5118864315095823e-6	0.021587950084115654	2.5118864315095823e-6	0.021612310008595696	2.5118864315095823e-6	0.021713680390054026	2.5118864315095823e-6	0.021703063740769	2.5118864315095823e-6	0.02170812634660128	2.5118864315095823e-6	0.021488259219307637	2.5118864315095823e-6	0.02170840604704752	2.5118864315095823e-6	0.021705778032920345	2.5118864315095823e-6	0.021612193890326047	2.5118864315095823e-6	0.021689712153362666	2.5118864315095823e-6	0.021478203419511684	2.5118864315095823e-6	0.021556864358735914	2.5118864315095823e-6	0.021584875057505115	2.5118864315095823e-6	0.021711941860049436	2.5118864315095823e-6	0.021583533311246746	2.5118864315095823e-6	0.02171469164357962	2.5118864315095823e-6	0.021713473543088307	2.5118864315095823e-6	0.02166921241550907	2.5118864315095823e-6	0.02165915611255964	2.5118864315095823e-6	0.021674404365907365	2.5118864315095823e-6	0.021645038026846305	2.5118864315095823e-6	0.021714709220019317	2.5118864315095823e-6	0.021658423871594345	2.5118864315095823e-6	0.02171456811922451	2.5118864315095823e-6	0.021661912080007617	2.5118864315095823e-6	0.021690065132654306	2.5118864315095823e-6	0.021652531431190367	2.5118864315095823e-6	0.021659765760489617	2.5118864315095823e-6	0.021656957338246782	2.5118864315095823e-6	0.021659283909319687	2.5118864315095823e-6	0.021687329806766523	2.5118864315095823e-6	0.02166448994824938	2.5118864315095823e-6	0.021661928307060974	2.5118864315095823e-6	0.021682579826738477	2.5118864315095823e-6	0.021714634302215867	2.5118864315095823e-6	0.021713697935766323	2.5118864315095823e-6	0.02166415232867431	2.5118864315095823e-6	0.021707106863108134	2.5118864315095823e-6	0.021712212563588254	2.5118864315095823e-6	0.021662517398051223	2.5118864315095823e-6	0.021668268542227625	2.5118864315095823e-6	0.02169983302628181	2.5118864315095823e-6	0.021665260999711815	2.5118864315095823e-6	0.02167451997813864	2.5118864315095823e-6	0.02170336706653439	2.5118864315095823e-6	0.021713594539007137	2.5118864315095823e-6	0.02171366703782493	2.5118864315095823e-6	0.021713771816331662	2.5118864315095823e-6	0.02170021213982136	2.5118864315095823e-6	0.021695688758036773	2.5118864315095823e-6	0.021660858657284524	2.5118864315095823e-6	0.02171332448535893	2.5118864315095823e-6	0.021650816073660564	2.5118864315095823e-6	0.02171363372279139	2.5118864315095823e-6	0.02165556446394195	2.5118864315095823e-6	0.021705901056337632	2.5118864315095823e-6	0.0217113513190306	2.5118864315095823e-6	0.02171219514026463	2.5118864315095823e-6	0.021714374060605966	2.5118864315095823e-6	0.02155375856509061	2.5118864315095823e-6	0.020457195459308592
3.162277660168379e-6	0.021714644768549323	3.162277660168379e-6	0.02171393959855987	3.162277660168379e-6	0.02171381982035039	3.162277660168379e-6	0.0217135124310666	3.162277660168379e-6	0.02158391153640428	3.162277660168379e-6	0.02158705678584401	3.162277660168379e-6	0.02161141622862184	3.162277660168379e-6	0.021712784616594673	3.162277660168379e-6	0.02170216817525497	3.162277660168379e-6	0.02170723068190568	3.162277660168379e-6	0.02148736790316977	3.162277660168379e-6	0.02170751037687582	3.162277660168379e-6	0.021704882414228563	3.162277660168379e-6	0.021611300112659677	3.162277660168379e-6	0.02168881684964552	3.162277660168379e-6	0.021477312304275728	3.162277660168379e-6	0.02155597167669805	3.162277660168379e-6	0.02158398182013986	3.162277660168379e-6	0.021711046120649533	3.162277660168379e-6	0.021582640100464578	3.162277660168379e-6	0.021713795850371927	3.162277660168379e-6	0.02171257777373101	3.162277660168379e-6	0.021668317514399106	3.162277660168379e-6	0.02165826140920699	3.162277660168379e-6	0.021673509362858244	3.162277660168379e-6	0.021644143601516244	3.162277660168379e-6	0.021713813426637252	3.162277660168379e-6	0.021657529182795864	3.162277660168379e-6	0.021713672328814305	3.162277660168379e-6	0.021661017322938503	3.162277660168379e-6	0.021689169822607553	3.162277660168379e-6	0.021651636858739425	3.162277660168379e-6	0.02165887104581762	3.162277660168379e-6	0.021656062679136685	3.162277660168379e-6	0.021658389204447865	3.162277660168379e-6	0.021686434551175752	3.162277660168379e-6	0.021663595141373095	3.162277660168379e-6	0.02166103355067993	3.162277660168379e-6	0.02168168466460424	3.162277660168379e-6	0.02171373851172926	3.162277660168379e-6	0.021712802163612682	3.162277660168379e-6	0.021663257528637608	3.162277660168379e-6	0.021706211220054485	3.162277660168379e-6	0.021711316820560798	3.162277660168379e-6	0.02166162263020041	3.162277660168379e-6	0.02166737366131404	3.162277660168379e-6	0.02169893752579979	3.162277660168379e-6	0.021664366177929852	3.162277660168379e-6	0.02167362497438719	3.162277660168379e-6	0.021702471496797514	3.162277660168379e-6	0.021712698768963482	3.162277660168379e-6	0.021712771266367295	3.162277660168379e-6	0.02171287604282748	3.162277660168379e-6	0.021699316631959724	3.162277660168379e-6	0.021694793338855295	3.162277660168379e-6	0.02165996392295455	3.162277660168379e-6	0.021712428721638467	3.162277660168379e-6	0.02164992153747775	3.162277660168379e-6	0.021712737953541422	3.162277660168379e-6	0.021654669837308467	3.162277660168379e-6	0.021705005442776665	3.162277660168379e-6	0.021710455600577837	3.162277660168379e-6	0.021711299405310438	3.162277660168379e-6	0.02171347828481584	3.162277660168379e-6	0.021552865958808804	3.162277660168379e-6	0.020456385988708064
3.981071705534969e-6	0.021713517128229495	3.981071705534969e-6	0.021712812020724365	3.981071705534969e-6	0.02171269225420897	3.981071705534969e-6	0.021712384872832155	3.981071705534969e-6	0.021582787190855796	3.981071705534969e-6	0.02158593236190679	3.981071705534969e-6	0.02161029119821077	3.981071705534969e-6	0.021711657076336537	3.981071705534969e-6	0.021701040896805412	3.981071705534969e-6	0.02170610327858395	3.981071705534969e-6	0.021486245974779133	3.981071705534969e-6	0.02170638296665953	3.981071705534969e-6	0.021703755068826828	3.981071705534969e-6	0.021610175085153775	3.981071705534969e-6	0.021687689900804955	3.981071705534969e-6	0.021476190628824297	3.981071705534969e-6	0.02155484802861234	3.981071705534969e-6	0.02158285747288511	3.981071705534969e-6	0.021709918623273115	3.981071705534969e-6	0.021581515786678513	3.981071705534969e-6	0.021712668285250085	3.981071705534969e-6	0.02171145023863744	3.981071705534969e-6	0.021667191072451037	3.981071705534969e-6	0.02165713521624022	3.981071705534969e-6	0.021672382792566204	3.981071705534969e-6	0.02164301775858656	3.981071705534969e-6	0.021712685861295784	3.981071705534969e-6	0.02165640300815307	3.981071705534969e-6	0.02171254476721439	3.981071705534969e-6	0.02165989106234115	3.981071705534969e-6	0.021688042865797553	3.981071705534969e-6	0.02165051083058081	3.981071705534969e-6	0.021657744838599193	3.981071705534969e-6	0.02165493654187187	3.981071705534969e-6	0.021657263009567933	3.981071705534969e-6	0.021685307662926843	3.981071705534969e-6	0.02166246881806687	3.981071705534969e-6	0.021659907290948383	3.981071705534969e-6	0.02168055789401935	3.981071705534969e-6	0.02171261095003256	3.981071705534969e-6	0.021711674624997675	3.981071705534969e-6	0.021662131213942493	3.981071705534969e-6	0.021705083843979726	3.981071705534969e-6	0.02171018931861639	3.981071705534969e-6	0.02166049635602811	3.981071705534969e-6	0.021666247244792904	3.981071705534969e-6	0.02169781032922639	3.981071705534969e-6	0.021663239835856888	3.981071705534969e-6	0.021672498403210148	3.981071705534969e-6	0.021701344213030445	3.981071705534969e-6	0.021711571233004948	3.981071705534969e-6	0.021711643728628535	3.981071705534969e-6	0.021711748502512056	3.981071705534969e-6	0.02169818942609517	3.981071705534969e-6	0.021693666244641332	3.981071705534969e-6	0.021658837690985356	3.981071705534969e-6	0.021711301193640502	3.981071705534969e-6	0.021648795554980373	3.981071705534969e-6	0.021711610418581415	3.981071705534969e-6	0.021653543740930065	3.981071705534969e-6	0.02170387810383112	3.981071705534969e-6	0.021709328129569886	3.981071705534969e-6	0.02171017191352675	3.981071705534969e-6	0.021712350741617762	3.981071705534969e-6	0.0215517424060948	3.981071705534969e-6	0.02045536707616018
5.011872336272725e-6	0.021712097781217223	5.011872336272725e-6	0.021711392752355986	5.011872336272725e-6	0.021711273000558792	5.011872336272725e-6	0.02171096562913708	5.011872336272725e-6	0.021581371992090412	5.011872336272725e-6	0.021584517064446338	5.011872336272725e-6	0.021608875137171156	5.011872336272725e-6	0.021710237855274553	5.011872336272725e-6	0.02169962200537396	5.011872336272725e-6	0.02170468422993199	5.011872336272725e-6	0.021484833819322865	5.011872336272725e-6	0.02170496390932696	5.011872336272725e-6	0.021702336093099135	5.011872336272725e-6	0.021608759027771884	5.011872336272725e-6	0.021686271424368086	5.011872336272725e-6	0.021474778791829158	5.011872336272725e-6	0.021553433707984564	5.011872336272725e-6	0.021581442271971434	5.011872336272725e-6	0.02170849945620142	5.011872336272725e-6	0.021580100627903453	5.011872336272725e-6	0.02171124903288335	5.011872336272725e-6	0.02171003102407786	5.011872336272725e-6	0.02166577323421736	5.011872336272725e-6	0.021655717691486397	5.011872336272725e-6	0.021670964792740974	5.011872336272725e-6	0.021641600674546596	5.011872336272725e-6	0.021711266608652417	5.011872336272725e-6	0.021654985506469927	5.011872336272725e-6	0.021711125519281664	5.011872336272725e-6	0.021658473452436693	5.011872336272725e-6	0.02168662437932631	5.011872336272725e-6	0.021649093513328197	5.011872336272725e-6	0.021656327295901313	5.011872336272725e-6	0.02165351908724884	5.011872336272725e-6	0.02165584548240459	5.011872336272725e-6	0.02168388926277691	5.011872336272725e-6	0.02166105112920814	5.011872336272725e-6	0.021658489682133256	5.011872336272725e-6	0.02167913964201421	5.011872336272725e-6	0.02171119170197707	5.011872336272725e-6	0.02171025540600322	5.011872336272725e-6	0.021660713535925438	5.011872336272725e-6	0.021703664829631847	5.011872336272725e-6	0.021708770145792103	5.011872336272725e-6	0.02165907872903126	5.011872336272725e-6	0.021664829438571776	5.011872336272725e-6	0.02169639154087993	5.011872336272725e-6	0.021661822123369718	5.011872336272725e-6	0.021671080402269463	5.011872336272725e-6	0.02169992531490268	5.011872336272725e-6	0.021710152017355083	5.011872336272725e-6	0.021710224510737255	5.011872336272725e-6	0.02171032928137662	5.011872336272725e-6	0.021696770626050618	5.011872336272725e-6	0.021692247585170615	5.011872336272725e-6	0.021657420117123648	5.011872336272725e-6	0.021709881988012613	5.011872336272725e-6	0.021647378295215614	5.011872336272725e-6	0.021710191204187556	5.011872336272725e-6	0.02165212633778121	5.011872336272725e-6	0.021702459136226388	5.011872336272725e-6	0.02170790899569036	5.011872336272725e-6	0.02170875275348948	5.011872336272725e-6	0.021710931516845725	5.011872336272725e-6	0.021550328205533712	5.011872336272725e-6	0.020454084576307013
6.30957344480193e-6	0.021710311345780456	6.30957344480193e-6	0.021709606415896227	6.30957344480193e-6	0.02170948668262229	6.30957344480193e-6	0.021709179323734583	6.30957344480193e-6	0.02157959077958067	6.30957344480193e-6	0.021582735727671856	6.30957344480193e-6	0.021607092838990885	6.30957344480193e-6	0.02170845157836897	6.30957344480193e-6	0.021697836143500834	6.30957344480193e-6	0.02170289817010509	6.30957344480193e-6	0.021483056438566767	6.30957344480193e-6	0.02170317783857045	6.30957344480193e-6	0.021700550125089986	6.30957344480193e-6	0.021606976734196977	6.30957344480193e-6	0.02168448608500764	6.30957344480193e-6	0.021473001812038546	6.30957344480193e-6	0.021551653601117243	6.30957344480193e-6	0.021579661056756783	6.30957344480193e-6	0.021706713247274134	6.30957344480193e-6	0.021578319465744553	6.30957344480193e-6	0.02170946271656242	6.30957344480193e-6	0.021708244755359304	6.30957344480193e-6	0.021663988698407147	6.30957344480193e-6	0.02165393355037283	6.30957344480193e-6	0.021669180053473673	6.30957344480193e-6	0.02163981708832725	6.30957344480193e-6	0.021709480291982962	6.30957344480193e-6	0.02165320139440404	6.30957344480193e-6	0.021709339208543062	6.30957344480193e-6	0.021656689204110985	6.30957344480193e-6	0.02168483902733105	6.30957344480193e-6	0.021647309633474818	6.30957344480193e-6	0.02165454313219393	6.30957344480193e-6	0.021651735034434468	6.30957344480193e-6	0.02165406133825607	6.30957344480193e-6	0.021682104019466387	6.30957344480193e-6	0.021659266781471533	6.30957344480193e-6	0.02165670543517791	6.30957344480193e-6	0.021677354585229947	6.30957344480193e-6	0.021709405391082452	6.30957344480193e-6	0.021708469131698892	6.30957344480193e-6	0.021658929201839146	6.30957344480193e-6	0.02170187881299469	6.30957344480193e-6	0.021706983929619842	6.30957344480193e-6	0.021657294459183518	6.30957344480193e-6	0.021663044943066038	6.30957344480193e-6	0.021694605808797385	6.30957344480193e-6	0.02166003774588267	6.30957344480193e-6	0.021669295661595873	6.30957344480193e-6	0.021698139444596306	6.30957344480193e-6	0.02170836574726176	6.30957344480193e-6	0.021708438237821807	6.30957344480193e-6	0.02170854300437651	6.30957344480193e-6	0.021694984879239154	6.30957344480193e-6	0.02169046201535329	6.30957344480193e-6	0.0216556359141763	6.30957344480193e-6	0.02170809573053659	6.30957344480193e-6	0.02164559448774116	6.30957344480193e-6	0.02170840493567382	6.30957344480193e-6	0.021650342349771045	6.30957344480193e-6	0.02170067317843585	6.30957344480193e-6	0.02170612282854373	6.30957344480193e-6	0.02170696655340803	6.30957344480193e-6	0.02170914523525561	6.30957344480193e-6	0.021548548249822934	6.30957344480193e-6	0.020452470370034354
