ssd,Km_g3p,kcat_f,Keq
0,0.00103,27025.299764582207,9.35
5.417716690797542e-7,0.05064258691830813,9.113031117380883e-8,1.0419601960803023e-7
5.417716691389482e-7,0.05064327258515135,2.9431329977880783e-7,1.0649859603820812e-7
5.417716691958124e-7,0.050641239007557,1.8259933763862807e-7,1.9629943778605388e-7
5.417716692127537e-7,0.05064158563423359,5.016719417378715e-7,3.8511163598561446e-7
5.417716692846982e-7,0.05064074596369277,9.731621999178896e-8,6.735466373590211e-8
5.417716693038776e-7,0.05064271990166243,9.792456945424827e-7,3.528752619876223e-7
5.417716693402986e-7,0.05064407819528092,4.5751586303055376e-7,4.6800469144752004e-7
5.417716693903859e-7,0.05064035350296933,9.965903889519302e-8,9.959084774920561e-8
5.417716694712562e-7,0.05064010208372758,1.433261598282729e-7,1.1570852178954222e-7
5.417716694870148e-7,0.050640126565412634,3.187216389507169e-7,2.147201252213524e-7
5.417716698364614e-7,0.05063941319194079,3.669372665933343e-7,6.430013930690756e-7
5.417716698953854e-7,0.050645149870665714,1.084704475593498e-6,6.360929988321316e-7
5.417716700345483e-7,0.050638863046348105,1.1249454729159142e-7,5.186611639282757e-7
5.417716703115958e-7,0.050638249053942104,8.668852629986194e-8,9.728817632668338e-8
5.417716703182028e-7,0.05063844999243597,5.369810791174067e-7,5.578053432106771e-7
5.41771670398229e-7,0.050646478556891285,9.202492096048415e-7,4.610963162090448e-7
5.417716706522704e-7,0.05063770355389258,4.637762402131261e-8,1.5485289105663224e-7
5.41771670680959e-7,0.050637655924238516,4.8712810321187416e-8,1.0189384214569864e-7
5.417716706822358e-7,0.05063889638076495,1.8595175345277591e-6,1.617607343379791e-7
5.417716708490337e-7,0.05064686746966311,1.4042156380531986e-6,4.196503964290959e-7
5.417716712554923e-7,0.05064052479198638,3.0276063460075767e-6,2.745871124059772e-7
5.417716713709918e-7,0.050636707799459654,1.5917478317769674e-8,2.590832598963805e-8
5.417716720926797e-7,0.05064169726579452,3.7840313592065685e-6,1.536935474907422e-7
5.417716727362118e-7,0.05064921062266164,1.5960366549685462e-6,1.9169445591191795e-7
5.417716729973559e-7,0.05063575697156478,1.9727139986550215e-6,2.360533159314502e-8
5.417716732584737e-7,0.050634690567402524,2.4593137022437325e-8,9.268332744182956e-8
5.417716736470886e-7,0.05064370060153767,4.640970262896029e-6,4.777421476839838e-8
5.417716737002005e-7,0.05063630826127496,3.0681816567491274e-6,4.772148831774183e-7
5.417716743056715e-7,0.05063612130825228,3.404075778650827e-6,4.403734323129459e-7
5.41771674586001e-7,0.05064472931184298,4.987794017285353e-6,1.6697488311798165e-8
5.417716748088822e-7,0.05063678846374339,4.071085097270948e-6,5.508975759232058e-7
5.417716753378071e-7,0.050633034235512006,7.378454658450142e-7,3.8564479001752985e-8
5.417716754112537e-7,0.05063608047077746,4.053870062891825e-6,7.097760715472963e-7
5.417716757007094e-7,0.050645533771413,5.369331942897624e-6,5.3539357142585806e-8
