ssd,Km_g3p,kcat_f,Keq
0,0.00103,27025.299764582207,9.35
1.3503888751054617e-6,0.05769463171711907,5.361803018931663e-10,0.00004858741586369
1.4699527750285537e-6,0.06543146965834461,1.7806715958531805e-10,2.0320707208424317e-7
1.476405007158321e-6,0.06583435550333175,1.1203933720174132e-7,0.00005048244259221653
1.4768581998056335e-6,0.06586263641755224,1.0323802995855165e-9,2.2446045022661565e-8
1.4768771257196463e-6,0.06586381594004291,2.850043772860866e-10,7.487429571181973e-9
1.476879324107652e-6,0.06586395294968199,3.320922911226033e-11,2.935390730247729e-8
1.4768935387417053e-6,0.06586483883980353,1.7110762515036118e-10,3.609263761301947e-7
1.4769134438623672e-6,0.06586607936702416,1.6270637671543548e-9,1.767196727634295e-7
1.4769153251645459e-6,0.06586619661258393,6.781574966426635e-10,2.1816601050969356e-7
1.476927830359538e-6,0.06586697595375801,1.0008133590633233e-9,3.281605528017168e-8
1.4769354815793638e-6,0.06586745277945247,1.0091594158325172e-9,6.878929891542082e-7
1.476940887423599e-6,0.06586778967750928,6.142563168307868e-10,5.957900079409685e-7
1.4769418853320907e-6,0.06586785185703019,1.974380881189794e-10,1.0908456502914105e-6
1.4769423120639766e-6,0.06586787846661464,1.2941637931186038e-9,4.3169574866702136e-8
1.476944998261698e-6,0.06586804586437746,6.692595232161519e-10,7.742480026091194e-7
1.476960136241202e-6,0.06586898927540318,3.15494407257416e-10,1.8018092781308698e-7
1.4769715057509581e-6,0.06586969782057538,1.1502481593775519e-9,3.597830672720314e-7
1.4769741732271239e-6,0.06586986405841029,8.344576017186483e-10,4.025490576645156e-9
1.4770941468847064e-6,0.06587734052884583,8.261250063313403e-11,4.0867074430399736e-8
1.477094790813376e-6,0.06587738065565243,9.869750584847244e-10,2.8210712435127222e-8
1.477164443701664e-6,0.06588172103517803,4.800328780475085e-10,5.468245701759152e-8
1.4772301650877514e-6,0.06588581627741347,8.811147513348195e-10,5.584174358807498e-8
1.477238832556316e-6,0.06588635635550477,6.518001109102736e-10,1.9000387715946842e-8
1.4774478722693332e-6,0.06589938105792775,7.088898314879372e-10,3.742124613746518e-8
1.4774695958965015e-6,0.06590073451537298,1.654403833764408e-10,2.014360158176578e-8
1.4778041353941324e-6,0.06592157550590792,9.870019812484959e-10,1.2092582431537727e-8
1.4778153767977665e-6,0.06592227575316512,4.144894096455646e-10,2.1303382112439873e-8
1.4785748294962141e-6,0.06596957370304792,7.26510780376445e-11,7.487448569650844e-9
1.478578010217809e-6,0.06596977175489033,3.8416091625686474e-10,1.209262042847547e-8
1.4789275069648573e-6,0.06599153158773503,1.4237161323875109e-9,2.130294514765585e-8
1.478948317414815e-6,0.0659928271283002,1.6047313346058182e-10,1.2092791414695304e-8
1.4791768334901734e-6,0.066007052297663,9.0570869604017e-10,1.439504487090238e-8
1.4792469372251361e-6,0.06601141592130422,2.3031078268409484e-10,1.4394987875495772e-8
1.4793598398541481e-6,0.06601844322960057,5.896758335073221e-10,4.432920340962526e-8
1.4794093197638016e-6,0.0660215228349668,8.522939327173289e-10,2.4748545458963958e-8
1.4795065000805237e-6,0.06602757105394394,1.0392725271110444e-9,2.8822767108262183e-9
1.4796627153689864e-6,0.06603729278082703,1.0159170295391871e-9,8.347273674408499e-8
1.4796766454317605e-6,0.06603815964945303,3.8957239177495494e-11,7.656521643670893e-8
1.4796870616792065e-6,0.06603880784902703,2.2713389655904683e-10,5.1852521088503775e-9
1.4797833423629186e-6,0.0660447991924424,9.737829042366438e-10,2.882181718481865e-9
1.4799956421217185e-6,0.06605800907217542,6.55353915728124e-10,9.79004399829759e-9
1.4800023971335868e-6,0.06605842936318969,1.6812996747722297e-9,5.468234302677829e-8
1.4800088629611416e-6,0.06605883165918472,1.237222147741684e-9,2.6421723513774915e-7
1.48016841656169e-6,0.06606875847488759,7.506874222433358e-10,2.821069343665835e-8
1.4805654630758438e-6,0.0660934575312328,7.306434246153846e-10,1.4395158861715607e-8
1.4806839427232525e-6,0.06610082677889449,1.4141181671029378e-10,2.1303040140000205e-8
1.4806861961023906e-6,0.06610096693099357,1.8403055176072595e-10,3.511855571647408e-8
1.481087453036006e-6,0.06612592100072125,6.604423180809551e-10,2.8822767108262183e-9
1.4815983984330694e-6,0.06615768886228518,2.7936405827593784e-10,8.11701603139071e-8
1.4818358076266065e-6,0.06617244676482745,2.7283528806132643e-10,2.882048729199771e-9
1.4823022902780623e-6,0.06620143897666211,3.0539029401393703e-9,4.0813707731342245e-7
1.4825502983098486e-6,0.06621684991918321,1.1574499986864533e-9,4.530293003480277e-7
1.4825504329015139e-6,0.06621685828467665,4.15324015322484e-10,5.801182469634935e-10
1.4825513243948724e-6,0.06621691367681827,3.461190510476034e-10,2.1586292112085618e-7
1.4826223973482748e-6,0.06622132969502421,6.657999480715021e-10,1.7231231296248546e-9
1.4831577830937948e-6,0.06625458977818524,5.754336914721493e-10,1.3235416327979255e-8
1.4860900945376312e-6,0.06643658811015296,5.000768756754596e-10,1.0303663804520242e-7
1.5123707711285206e-6,0.06781996532091186,1.8312700630875483e-6,0.004303803311119857
1.5900057620981323e-6,0.07271324497254447,5.475955537323218e-10,4.0467513831888566e-7
0.24997371201095747,75.51387276620098,0.000035798304585952345,0.008831887757545722
0.2694654377471015,79.09777066067325,0.00007222126035436632,0.009134421653985411
0.28734996383173667,82.32220005440972,0.00006343609520611256,0.009231440775059864
0.29335050457673817,83.39147311052355,0.00006115566796353985,0.01831297708564425
0.6971274442238993,147.3053898973575,0.00009849425015494387,0.17675531075128675
0.7530928479021627,155.47267894113529,0.00007020173279829898,0.02244825860906665
0.9475706632138242,183.23327376299397,0.0002377280305547842,0.044670898240894985
1.074139367176347,55.4788027217449,44.39720414685044,0.4745707299429517
1.1371843142747569,209.6875341143214,0.00027339278833831375,0.010922363461104014
6.050142705221201,943.7180623490764,0.00007209082039849862,0.018334233029700827
6.157925638013586,962.2703362447653,0.00006991228402463087,0.0597009110384206
8.994315971562191,1498.6203145198992,0.00006271535311248393,0.014632433847190955
9.849001146842616,1679.4932523456855,0.00008781740320974173,0.037653123717646585
12.633781426633735,2335.9415960540914,0.00006193489272115955,0.012123928028942412
13.740611026168331,2626.891617219361,0.00008858148428965861,0.0009611801737512962
13.762468637287045,2632.816263607327,0.000021100027246691002,0.000571603987462849
19.6590400388554,4500.832723694698,0.00003278150378541417,0.042968738180725136
23.94814938897969,6224.688734534584,0.00007526395130953301,0.0005307104965164158
23.998150422278236,6118.242091938568,0.000010918335238259898,31.328475185595394
26.302255540377978,7311.935954949368,4.955814350794542e-6,0.06208317710253234
26.821236984378885,7565.530632913652,0.00004220282461693061,0.012706854074819068
27.04967820498112,7678.765933054142,0.000037639742690385953,0.003439494395468623
28.14390135116315,8234.884615713221,0.000015293077315090407,0.02019409070062894
29.41306599650183,8908.563059335462,0.000011670736334801441,0.0004951518576452347
31.501976689692512,10084.977201197378,8.749934800342404e-6,0.00008796619965778518
35.217591374987165,12386.61269770365,0.00003980511158471862,0.00011127294238487963
35.29960821201503,12440.432779175822,6.096830465631322e-6,0.03331475502043207
35.349743301662585,12473.39588043535,2.1019899757538133e-6,0.00004615705185620088
35.40454809441374,12509.484462243008,0.00001530871315437636,0.000027504955052704716
35.87298422876975,12820.30402978229,0.000012410455396161468,0.000571166693967317
36.11713086827148,12983.972283690024,5.265634906739531e-9,0.0004877065530181085
36.6229635575444,13326.698869684878,3.3650308789544904e-7,0.0044938116408744806
37.57714056596409,13986.475614893287,1.939112060649007e-9,0.00012349404263787658
38.59686448268525,14710.598808535127,0.000021733607256066412,0.0028604749439127323
38.65853251147477,14755.015633307305,0.000021745115539515783,0.024328146419091725
40.345108674626324,15997.093146026826,0.000020045431103585463,0.00009988100623467956
45.790557501112474,20351.253394420484,2.7747677253554912e-9,0.0014312159656678534
45.86317641412501,20412.66755027093,3.7758938192427853e-6,0.0031810114519463936
61.42668863994423,13783.531532391959,0.03282317313429583,2929.786778503874
462.468980172855,99.99747435640579,99.99996351373187,73.2351584239653
3309.6606981154205,99.99999497195888,100.,99.99087538808791
