"Priority"	"Fitting Equation"	"Log10 residual"	"Log10 residual^2"	"Euclidean residual"	"Relative error"	"True value"	"Predicted Value"
""	""
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"haldaneRatio_1"	1.0022923435659692e-8	1.0045899419709628e-16	1.0431542518674064e-8	2.307863389087182e-6	0.452	0.4519999895684575
1	"relRateFor_nad"	7.2544824325504464e-6	5.2627515364183044e-11	1.5185385086047276e-6	0.0016703923594651997	0.09090909090909095	0.09090757237058235
1	"relRateFor_nad"	5.901524618767695e-6	3.4827992825921187e-11	1.8590237021443023e-6	0.0013588670286451357	0.13680688860321014	0.136805029579508
1	"relRateFor_nad"	4.0163318476560406e-6	1.6130921510496184e-11	1.8566091045391087e-6	0.0009247903078858366	0.20076000891310194	0.2007581523039974
1	"relRateFor_nad"	1.5405662876499804e-6	2.373344486643642e-12	1.0100778445876202e-6	0.0003547278677175707	0.28474724895080133	0.28474623887295675
1	"relRateFor_nad"	1.4696136100278423e-6	2.159764162779067e-12	1.3091125490860556e-6	0.000338391611629796	0.386863179846857	0.38686448895940606
1	"relRateFor_nad"	4.804692344539951e-6	2.3085068525680815e-11	5.531637083278085e-6	0.0011063274166556165	0.5000000000000002	0.5000055316370835
