Priority	dhap[c]	fdp[c]	g3p[c]	param_FBA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/haldaneRatio_1.txt"	0.00016
1	0	0.000017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.09090909090909094
1	0	0.00002694318427183895	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.1368068886032101
1	0	0.000042702069335662915	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.20076000891310194
1	0	0.0000676782189940945	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.28474724895080133
1	0	0.00010726274856163285	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.386863179846857
1	0	0.00017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.5000000000000001
1	0	0.0002694318427183895	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.6131368201531432
1	0	0.0004270206933566291	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.7152527510491988
1	0	0.0006767821899409458	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.7992399910868985
1	0	0.0010726274856163284	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.86319311139679
1	0	0.0017000000000000008	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/relRateFor_fdp.txt"	0.9090909090909091
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0	1	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/absRateFor.txt"	10.5
1	0.000065	0.000017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.06250000000000003
1	0.000065	0.00005375872022286247	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.17411239489546837
1	0.000065	0.00017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.4000000000000001
1	0.000065	0.0005375872022286248	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.6782688399674106
1	0.000065	0.0017000000000000008	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.8695652173913043
1	0.00013	0.000017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.04761904761904764
1	0.00013	0.00005375872022286247	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.13652705949581437
1	0.00013	0.00017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.3333333333333335
1	0.00013	0.0005375872022286248	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.6125741132772069
1	0.00013	0.0017000000000000008	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.8333333333333333
1	0.00026	0.000017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.032258064516129045
1	0.00026	0.00005375872022286247	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.09535767393826002
1	0.00026	0.00017000000000000007	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.2500000000000001
1	0.00026	0.0005375872022286248	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.5131670194948621
1	0.00026	0.0017000000000000008	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.7692307692307693
1	0	0.000017000000000000007	0.00006500000000000001	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.030349681108423142
1	0	0.00005375872022286247	0.00006500000000000001	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.08852308825306443
1	0	0.00017000000000000007	0.00006500000000000001	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA2/fit_FBA2/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.22475570032573297
