Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (›C),Buffer/Media,Uniprot,References,Data Point,Notes
1,tryptophan synthase,,,4.2.1.20,,Escherichia coli,,L-serine + 1-C-(indol-3-yl)glycerol 3-phosphate <=> L-tryptophan + D-glyceraldehyde 3-phosphate + H2O,,,indolebutanol phosphate,Ki,0.0011,,mM,,,,,,,,RF1,,competitive in the catalysis of indoleglycerol phosphate cleavage
2,tryptophan synthase,,,4.2.1.20,,Escherichia coli,,L-serine + 1-C-(indol-3-yl)glycerol 3-phosphate <=> L-tryptophan + D-glyceraldehyde 3-phosphate + H2O,,,indoleethanol phosphate,Ki,0.05,,mM,,,,,,,,RF1,,competitive in the catalysis of indoleglycerol phosphate cleavage
3,tryptophan synthase,,,4.2.1.20,,Escherichia coli,,L-serine + 1-C-(indol-3-yl)glycerol 3-phosphate <=> L-tryptophan + D-glyceraldehyde 3-phosphate + H2O,,,indolepropanol phosphate,Ki,0.004,,mM,,,,,,,,RF1,,competitive in the catalysis of indoleglycerol phosphate cleavage
4,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S1,
5,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S1,
6,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.48,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S1,
7,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),1.04,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S1,
8,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.46,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S1,
9,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,Complex: P0A877; Kinetic Law: Michaelis-Menten; ,,,7.8,37,"Tris-Cl, 0.18 M NaCl, 0.2 mM dithiothreitol, 0.05 mM pyridoxal phosphate, 4 mM EDTA",P0A877,RF2,S2,experimental conditions are taken from: PubMed ID 2001993
10,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,Complex: P0A877; Kinetic Law: Michaelis-Menten; ,,,7.8,37,"Tris-Cl, 0.18 M NaCl, 0.2 mM dithiothreitol, 0.05 mM pyridoxal phosphate, 4 mM EDTA",P0A877,RF2,S2,experimental conditions are taken from: PubMed ID 2001993
11,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.005,,s^(-1),Complex: P0A877; Kinetic Law: Michaelis-Menten; ,,,7.8,37,"Tris-Cl, 0.18 M NaCl, 0.2 mM dithiothreitol, 0.05 mM pyridoxal phosphate, 4 mM EDTA",P0A877,RF2,S2,experimental conditions are taken from: PubMed ID 2001993
12,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.02,,mM^(-1)*s^(-1),Complex: P0A877; Kinetic Law: Michaelis-Menten; ,,,7.8,37,"Tris-Cl, 0.18 M NaCl, 0.2 mM dithiothreitol, 0.05 mM pyridoxal phosphate, 4 mM EDTA",P0A877,RF2,S2,experimental conditions are taken from: PubMed ID 2001993
13,tryptophan synthase,,,4.2.1.20,,Escherichia coli,wildtype,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.25,,mM,Complex: P0A877; Kinetic Law: Michaelis-Menten; ,,,7.8,37,"Tris-Cl, 0.18 M NaCl, 0.2 mM dithiothreitol, 0.05 mM pyridoxal phosphate, 4 mM EDTA",P0A877,RF2,S2,experimental conditions are taken from: PubMed ID 2001993
14,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY4C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S3,
15,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY4C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S3,
16,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY4C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,,kcat (kcat),0.333,,s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S3,
17,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY4C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,kcat/Km (kcat_Km),0.85,,mM^(-1)*s^(-1),((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S3,
18,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitY4C,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,Km (Km),0.39,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S3,
19,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF22S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,(3-Indolyl)-glycerol phosphate,concentration (A),Start: 0.05; End: 0.2,,mM,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S4,
20,tryptophan synthase,,,4.2.1.20,,Escherichia coli,mutantalphasubunitF22S,(3-Indolyl)-glycerol phosphate = D-Glyceraldehyde 3-phosphate + Indole,,,Enzyme,concentration (E),,,,((P0A877)*2(P0A879)*2);,,,,,,"P0A877, P0A879",RF2,S4,
